Ticker,Company,CEO,Year,Market Cap,CEO Pay,Median Worker Pay,Pay Ratio,Rank,Industry
LRCX,Lam Research Corp.,Timothy Archer,2023,98508070912.0,18310099,81126,226:01:00,low,Technology
FTNT,"Fortinet, Inc.",Ken Xie,2023,83056885760.0,16301613,124446,130:01:00,low,Technology
APH,Amphenol Corp.,R.A. Norwitt,2023,80657924096.0,10944707,16944,646:01:00,low,Technology
DELL,Dell Technologies Inc.,Michael Dell,2024,71696171008.0,3030405,74729,37:01:00,low,Technology
SNPS,Synopsys Inc.,Sassine Ghazi,2023,70704635904.0,10067991,90759,140:01:00,low,Technology
WDAY,"Workday, Inc.",Carl Eschenbach,2024,70048440320.0,2521664,233831,439:01:00,low,Technology
GRMN,Garmin Ltd,Clifton Pemble,2023,44047044608.0,6540666,41063,159:01:00,low,Technology
MCHP,Microchip Technology Inc.,Ganesh Moorthy,2023,31656028160.0,12276315,51229,240:01:00,low,Technology
BR,"Broadridge Financial Solutions, Inc.",Timothy Gokey,2023,28227323904.0,12235278,67457,182:01:00,low,Technology
CPAY,Corpay,Ronald F. Clarke,2023,25587421184.0,2669024,50798,53:01:00,low,Technology
TDY,Teledyne Technologies Inc.,Robert Mehrabian,2023,24120858624.0,8557552,66824,128:01:00,low,Technology
CDW,CDW Corp.,Christine Leahy,2023,23610073088.0,9020376,105264,86:01:00,low,Technology
LDOS,"Leidos Holdings, Inc.",Thomas Bell,2023,17047775232.0,9187541,106046,91:01:00,low,Technology
FSLR,"First Solar, Inc.",Mark Widmar,2023,14579702784.0,7725497,23560,328:01:00,low,Technology
JKHY,Henry Jack & Associates Inc.,David Foss,2023,12654310400.0,10439026,84531,123:01:00,low,Technology
PAYC,"Paycom Software, Inc.",Chad Richison,2023,12287312896.0,3118606,79173,39:01:00,low,Technology
EPAM,"Epam Systems, Inc.",Arkadiy Dobkin,2023,11722975232.0,7545130,39153,193:01:00,low,Technology
