,Ticker,Company,CEO,Year,CEO PaySort ascending
997,GOOG,Alphabet Inc.,Sundar Pichai,2023,8802824
1000,PSA,Public Storage,Joseph Russell,2023,8776291
1003,AOS,Smith A O Corp.,Kevin Wheeler,2023,8756656
1007,WAT,Waters Corp.,Udit Batra,2023,8742180
1030,TDY,Teledyne Technologies Inc.,Robert Mehrabian,2023,8557552
1037,DRI,Darden Restaurants Inc.,Ricardo Cardenas,2023,8500029
1049,MTD,Mettler Toledo International Inc.,Patrick Kaltenbach,2023,8417336
1055,CINF,Cincinnati Financial Corp.,Steven J. Johnston,2023,8381511
1057,CBOE,"Cboe Global Markets, Inc.",Fredric J. Tomczyk,2023,8366510
1064,MKTX,Marketaxess Holdings Inc.,Christopher Concannon,2023,8293086
1074,JBHT,Hunt J B Transport Services Inc.,John Roberts,2023,8256333
1086,REGN,"Regeneron Pharmaceuticals, Inc.",Leonard S. Schleifer,2023,8184338
1097,BLDR,"Builders Firstsource, Inc.",David Rush,2023,8105991
1098,ATO,Atmos Energy Corp.,Kevin Akers,2023,8104362
1110,MAA,Mid America Apartment Communities Inc.,Eric Bolton,2023,8015765
1137,ERIE,Erie Indemnity Co.,Timothy NeCastro,2023,7824320
1150,IEX,Idex Corp.,Eric D. Ashleman,2023,7758876
1156,STE,Steris PLC,Daniel Carestio,2023,7740184
1160,FSLR,"First Solar, Inc.",Mark Widmar,2023,7725497
1165,AWK,"American Water Works Company, Inc.",Susan Hardwick,2023,7720825
1180,KDP,Keurig Dr Pepper Inc.,Robert Gamgort,2023,7620095
1195,CTAS,Cintas Corp.,Todd Schneider,2023,7570256
1198,EPAM,"Epam Systems, Inc.",Arkadiy Dobkin,2023,7545130
1212,EXPD,Expeditors International OF Washington Inc.,Jeffrey Musser,2023,7453361
1225,HWM,Howmet Aerospace Inc.,John Plant,2023,7344588
1228,AMCR,Amcor PLC,Ron Delia,2023,7305995
1248,GL,Globe Life Inc.,Frank Svoboda,2023,7206071
1263,EVRG,"Evergy, Inc.",David Campbell,2023,7138724
1271,GNRC,Generac Holdings Inc.,Aaron Jagdfeld,2023,7084966
1297,NDSN,Nordson Corp.,Sundaram Nagarajan,2023,6981645
1308,L,Loews Corp.,James Tisch,2023,6918337
1311,CPT,Camden Property Trust,Richard Campo,2023,6911304
1321,FDS,Factset Research Systems Inc.,Philip Snow,2023,6862015
1333,HRL,Hormel Foods Corp.,James Snee,2023,6785979
1349,DVA,Davita Inc.,Javier Rodriguez,2023,6712328
1358,PAYX,Paychex Inc.,John Gibson,2023,6680180
1383,ROL,Rollins Inc.,Gary W. Rollins,2023,6573646
1387,GRMN,Garmin Ltd,Clifton Pemble,2023,6540666
1438,D,"Dominion Energy, Inc.",Robert Blue,2023,6278835
1471,VLTO,Veralto,Jennifer L. Honeycutt,2023,6140635
1478,TPL,Texas Pacific Land Corp.,Tyler Glover,2023,6108717
1479,POOL,Pool Corp.,Peter Arvan,2023,6103488
1484,AVY,Avery Dennison Corp.,Deon Stander,2023,6070962
1598,ORLY,O Reilly Automotive Inc.,Greg Johnson,2023,5603352
1673,ORCL,Oracle Corp.,Safra Catz,2023,5250680
1682,MKC,Mccormick & CO Inc.,Brendan Foley,2023,5213172
1733,LII,Lennox International Inc.,Alok Maskara,2023,4983663
1751,HON,Honeywell International Inc.,James Currier,2023,4895383
1778,DOC,Physicians Realty Trust,John Thomas,2023,4807847
1870,MHK,Mohawk Industries Inc.,Jeffrey Lorberbaum,2023,4428417
1939,BIIB,Biogen Inc.,Christopher Viehbacher,2023,4069913
2062,PLTR,Palantir Technologies Inc.,Alexander Karp,2023,3498197
2101,DLTR,"Dollar Tree, Inc.",Richard Dreiling,2023,3360766
2178,PAYC,"Paycom Software, Inc.",Chad Richison,2023,3118606
2180,FAST,Fastenal Co.,Daniel Florness,2023,3115507
2192,ESS,"Essex Property Trust, Inc.",Angela Kleiman,2023,3076648
2204,DELL,Dell Technologies Inc.,Michael Dell,2024,3030405
2311,CPAY,Corpay,Ronald F. Clarke,2023,2669024
2360,WDAY,"Workday, Inc.",Carl Eschenbach,2024,2521664
2475,DFS,Discover Financial Services,John B. Owen,2023,2188651
2537,CPRT,Copart Inc.,Jeffrey Liaw,2023,2009000
2647,NVR,NVR Inc.,Eugene Bredow,2023,1763200
2843,AMZN,Amazon Com Inc.,Andrew Jassy,2023,1357764
3060,EXPE,"Expedia Group, Inc.",Peter Kern,2023,1009900
3506,BRK-B,Berkshire Hathaway Inc.,Warren Buffett,2023,413595
3587,ABNB,"Airbnb, Inc.",Brian Chesky,2023,295125
3663,TTWO,Take Two Interactive Software Inc.,Strauss Zelnick,2023,115015
3681,AXON,Axon Enterprise,Patrick W. Smith,2023,40058
3702,SMCI,"Super Micro Computer, Inc.",Charles Liang,2023,1
3708,TSLA,"Tesla, Inc.",Elon Musk,2023,0
