,Ticker,Company,CEO,Year,Market Cap,CEO Pay,Median Worker Pay,Pay Ratio,Rank
61,DFS,Discover Financial Services,John B. Owen,2023,49110585344.0,2188651,59905,145:01:00,low
62,NEM,Newmont Corp.,Tom Palmer,2023,48274685952.0,11747104,55338,212:01:00,low
63,D,"Dominion Energy, Inc.",Robert Blue,2023,48243068928.0,6278835,112683,56:01:00,low
64,MSCI,MSCI Inc.,Henry Fernandez,2023,45854281728.0,13793145,57876,238:01:00,low
65,KDP,Keurig Dr Pepper Inc.,Robert Gamgort,2023,45478260736.0,7620095,59669,128:01:00,low
66,VST,Vistra Corp.,James Burke,2023,45474607104.0,10453376,149935,70:01:00,low
67,VST,Vistra Corp.,James Burke,2023,45474607104.0,10453376,149935,70:01:00,low
68,EXC,Exelon Corp.,Calvin Butler,2023,44430725120.0,12266720,146180,84:01:00,low
69,GRMN,Garmin Ltd,Clifton Pemble,2023,44047044608.0,6540666,41063,159:01:00,low
70,FAST,Fastenal Co.,Daniel Florness,2023,43427446784.0,3115507,46393,67:01:00,low
71,CTVA,"Corteva, Inc.",Charles Magro,2023,43176312832.0,13234872,77084,172:01:00,low
72,EW,Edwards Lifesciences Corp.,Mr. Zovighian,2023,42241478656.0,12869020,50368,265:01:00,low
73,URI,"United Rentals, Inc.",Matthew Flannery,2023,41948057600.0,11002256,86568,127:01:00,low
74,VRSK,"Verisk Analytics, Inc.",Lee Shavel,2023,41649348608.0,10366566,87582,118:01:00,low
75,PEG,Public Service Enterprise Group Inc.,Ralph LaRossa,2023,40458223616.0,11778863,143410,82:01:00,low
76,ETR,Entergy Corp.,Andrew Marsh,2023,37579358208.0,10373208,135842,76:01:00,low
77,ODFL,"Old Dominion Freight Line, Inc.",Kevin M. Freeman,2023,37514190848.0,9496611,78853,156:01:00,low
78,TTWO,Take Two Interactive Software Inc.,Strauss Zelnick,2023,37413621760.0,115015,75276,2:01,low
79,KHC,Kraft Heinz Co,Miguel Patricio,2023,36698140672.0,11359250,75128,151:01:00,low
80,IDXX,Idexx Laboratories Inc.,Jonathan Mazelsky,2023,35549368320.0,11519309,61136,188:01:00,low
81,VICI,Vici Properties Inc.,Edward Pitoniak,2023,34320486400.0,11277678,376391,30:01:00,low
82,VICI,Vici Properties Inc.,Edward Pitoniak,2023,34320486400.0,11277678,376391,30:01:00,low
83,WEC,"Wec Energy Group, Inc.",Scott Lauber,2023,33900961792.0,9552179,131029,73:01:00,low
84,BRO,"Brown & Brown, Inc.",Powell Brown,2023,33894379520.0,9786745,68672,143:01:00,low
85,WTW,Willis Towers Watson,Carl Hess,2023,33860591616.0,12668832,49706,255:01:00,low
86,EXR,Extra Space Storage Inc.,Joseph Margolis,2023,33650614272.0,12280701,49954,246:01:00,low
87,AVB,Avalonbay Communities Inc.,Benjamin Schall,2023,32175007744.0,9479687,80764,117:01:00,low
88,XYL,Xylem Inc.,Patrick Decker,2023,31799070720.0,10825450,56420,192:01:00,low
89,MCHP,Microchip Technology Inc.,Ganesh Moorthy,2023,31656028160.0,12276315,51229,240:01:00,low
90,MTB,M&T Bank Corp.,René F. Jones,2023,31505922048.0,9385557,84682,111:01:00,low
91,TSCO,Tractor Supply Co,Harry Lawton,2023,29421180928.0,11374666,22152,513:01:00,low
92,EQR,Equity Residential,Mark Parrell,2023,29027837952.0,11361059,74135,153:01:00,low
93,FITB,Fifth Third Bancorp,Timothy Spence,2023,28934414336.0,9385726,66030,142:01:00,low
94,EQT,EQT Corp.,Toby Rice,2023,28778733568.0,10600926,135105,78:01:00,low
95,BR,"Broadridge Financial Solutions, Inc.",Timothy Gokey,2023,28227323904.0,12235278,67457,182:01:00,low
96,AEE,Ameren Corp.,Martin Lyons,2023,27411650560.0,9009431,133250,68:01:00,low
97,MTD,Mettler Toledo International Inc.,Patrick Kaltenbach,2023,26620848128.0,8417336,46144,182:01:00,low
98,AWK,"American Water Works Company, Inc.",Susan Hardwick,2023,26506944512.0,7720825,96531,80:01:00,low
99,CPAY,Corpay,Ronald F. Clarke,2023,25587421184.0,2669024,50798,53:01:00,low
100,EXPE,"Expedia Group, Inc.",Peter Kern,2023,25508532224.0,1009900,105372,10:01,low
101,EXPE,"Expedia Group, Inc.",Peter Kern,2023,25508532224.0,1009900,105372,10:01,low
102,ATO,Atmos Energy Corp.,Kevin Akers,2023,24147292160.0,8104362,91592,88:01:00,low
103,TDY,Teledyne Technologies Inc.,Robert Mehrabian,2023,24120858624.0,8557552,66824,128:01:00,low
104,CDW,CDW Corp.,Christine Leahy,2023,23610073088.0,9020376,105264,86:01:00,low
105,DRI,Darden Restaurants Inc.,Ricardo Cardenas,2023,23483287552.0,8500029,22248,382:01:00,low
106,DRI,Darden Restaurants Inc.,Ricardo Cardenas,2023,23483287552.0,8500029,22248,382:01:00,low
107,CINF,Cincinnati Financial Corp.,Steven J. Johnston,2023,23135811584.0,8381511,120704,69:01:00,low
108,WAT,Waters Corp.,Udit Batra,2023,22418108416.0,8742180,76668,114:01:00,low
109,ERIE,Erie Indemnity Co.,Timothy NeCastro,2023,22383738880.0,7824320,84410,93:01:00,low
110,ERIE,Erie Indemnity Co.,Timothy NeCastro,2023,22383738880.0,7824320,84410,93:01:00,low
111,MKC,Mccormick & CO Inc.,Brendan Foley,2023,22152697856.0,5213172,40141,275:01:00,low
112,CBOE,"Cboe Global Markets, Inc.",Fredric J. Tomczyk,2023,22071181312.0,8366510,179120,58:01:00,low
113,STE,Steris PLC,Daniel Carestio,2023,21542469632.0,7740184,68915,113:01:00,low
114,STE,Steris PLC,Daniel Carestio,2023,21542469632.0,7740184,68915,113:01:00,low
115,ESS,"Essex Property Trust, Inc.",Angela Kleiman,2023,21495060480.0,3076648,93662,37:01:00,low
116,NVR,NVR Inc.,Eugene Bredow,2023,20894441472.0,1763200,75700,23:01,low
117,NVR,NVR Inc.,Eugene Bredow,2023,20894441472.0,1763200,75700,23:01,low
118,MAA,Mid America Apartment Communities Inc.,Eric Bolton,2023,20170532864.0,8015765,45501,176:01:00,low
119,HUBB,Hubbell Inc.,Gerben Bakker,2023,19942379520.0,9666284,49030,197:01:00,low
120,NI,Nisource Inc.,Lloyd Yates,2023,19178252288.0,9216680,174408,53:01:00,low
121,L,Loews Corp.,James Tisch,2023,18283988992.0,6918337,65779,105:01:00,low
122,FDS,Factset Research Systems Inc.,Philip Snow,2023,17559971840.0,6862015,21301,322:01:00,low
123,LDOS,"Leidos Holdings, Inc.",Thomas Bell,2023,17047775232.0,9187541,106046,91:01:00,low
124,WST,West Pharmaceutical Services Inc.,Eric M. Green,2023,16799065088.0,9395896,65395,144:01:00,low
125,DG,Dollar General Corp.,Todd Vasos,2023,16314110976.0,8980117,18657,521:01:00,low
126,EXPD,Expeditors International OF Washington Inc.,Jeffrey Musser,2023,16199435264.0,7453361,51321,145:01:00,low
127,EXPD,Expeditors International OF Washington Inc.,Jeffrey Musser,2023,16199435264.0,7453361,51321,145:01:00,low
128,JBHT,Hunt J B Transport Services Inc.,John Roberts,2023,16120289280.0,8256333,66919,123:01:00,low
129,EVRG,"Evergy, Inc.",David Campbell,2023,15849920512.0,7138724,105724,53:01:00,low
130,BLDR,"Builders Firstsource, Inc.",David Rush,2023,15792183296.0,8105991,68736,118:01:00,low
131,HRL,Hormel Foods Corp.,James Snee,2023,15718241280.0,6785979,52099,130:01:00,low
132,DLTR,"Dollar Tree, Inc.",Richard Dreiling,2023,15667742720.0,3360766,15955,211:01:00,low
133,AVY,Avery Dennison Corp.,Deon Stander,2023,14848615424.0,6070962,15679,403:01:00,low
134,AMCR,Amcor PLC,Ron Delia,2023,14626840576.0,7305995,66941,109:01:00,low
135,FSLR,"First Solar, Inc.",Mark Widmar,2023,14579702784.0,7725497,23560,328:01:00,low
136,DOC,Physicians Realty Trust,John Thomas,2023,14313119744.0,4807847,109629,44:01:00,low
137,REG,Regency Centers Corp.,Lisa Palmer,2023,13994834944.0,9269035,119778,77:01:00,low
138,CPT,Camden Property Trust,Richard Campo,2023,13244273664.0,6911304,66122,105:01:00,low
139,POOL,Pool Corp.,Peter Arvan,2023,13205258240.0,6103488,51621,118:01:00,low
140,POOL,Pool Corp.,Peter Arvan,2023,13205258240.0,6103488,51621,118:01:00,low
141,JKHY,Henry Jack & Associates Inc.,David Foss,2023,12654310400.0,10439026,84531,123:01:00,low
142,PAYC,"Paycom Software, Inc.",Chad Richison,2023,12287312896.0,3118606,79173,39:01:00,low
143,NDSN,Nordson Corp.,Sundaram Nagarajan,2023,11967961088.0,6981645,85402,82:01:00,low
144,DVA,Davita Inc.,Javier Rodriguez,2023,11830400000.0,6712328,68007,99:01:00,low
145,EPAM,"Epam Systems, Inc.",Arkadiy Dobkin,2023,11722975232.0,7545130,39153,193:01:00,low
146,ALLE,Allegion PLC,John Stone,2023,11106438144.0,8997445,64092,140:01:00,low
147,PNW,Pinnacle West Capital Corp.,Jeffrey Guldner,2023,11021421568.0,9322192,153935,61:01:00,low
148,GL,Globe Life Inc.,Frank Svoboda,2023,10697124864.0,7206071,61022,118:01:00,low
149,AIZ,"Assurant, Inc.",Keith Demmings,2023,10559127552.0,10331024,52667,196:01:00,low
150,NCLH,Norwegian Cruise Line Holdings Ltd.,Harry Sommer,2023,9993640960.0,8864592,23330,380:01:00,low
151,AOS,Smith A O Corp.,Kevin Wheeler,2023,9541808128.0,8756656,49422,177:01:00,low
152,FRT,Federal Realty Investment Trust,Donald Wood,2023,9096586240.0,8941820,135358,66:01:00,low
153,GNRC,Generac Holdings Inc.,Aaron Jagdfeld,2023,8116445696.0,7084966,70609,101:01:00,low
154,MHK,Mohawk Industries Inc.,Jeffrey Lorberbaum,2023,7359628800.0,4428417,42888,103:01:00,low
155,MKTX,Marketaxess Holdings Inc.,Christopher Concannon,2023,7266871808.0,8293086,167000,50:01:00,low
156,TFX,Teleflex Inc.,Liam Kelly,2023,6165401088.0,9039947,37432,242:01:00,low
