,Ticker,Company,Median Worker Pay,Pay RatioSort ascending
273,DHR,Danaher Corp.,65010,322:01:00
274,FDS,Factset Research Systems Inc.,21301,322:01:00
276,JCI,Johnson Controls International PLC,49465,321:01:00
281,WAB,Westinghouse Air Brake Technologies Corp.,48924,317:01:00
282,DOV,Dover Corp.,52946,317:01:00
284,ECL,Ecolab Inc.,49177,316:01:00
285,CAG,Conagra Brands Inc.,59177,316:01:00
286,GIS,General Mills Inc.,51906,316:01:00
289,TSN,"Tyson Foods, Inc.",41949,314:01:00
290,LEN,Lennar Corp,109229,314:01:00
293,F,Ford Motor Co.,84829,312:01:00
294,IBM,International Business Machines Corp.,65463,312:01:00
296,MSI,"Motorola Solutions, Inc.",90726,311:01:00
297,BKR,Baker Hughes Co,69676,311:01:00
301,COF,Capital One Financial Corp.,93157,307:01:00
304,ENPH,"Enphase Energy, Inc.",64379,303:01:00
305,GM,General Motors Co,91778,303:01:00
307,ADM,Archer-Daniels-Midland Co,81467,300:01:00
308,HPE,Hewlett Packard Enterprise Co,66816,300:01:00
309,KLAC,KLA Corp.,88831,300:01:00
310,WYNN,Wynn Resorts Ltd,54089,299:01:00
313,SPG,Simon Property Group Inc.,52166,298:01:00
315,MPWR,Monolithic Power Systems Inc.,49493,296:01:00
316,MCK,Mckesson Corp.,68844,294:01:00
317,GPC,Genuine Parts Co.,38903,293:01:00
318,UBER,"Uber Technologies, Inc.",83077,292:01:00
319,LKQ,LKQ Corp.,41841,291:01:00
320,PFE,Pfizer Inc.,74008,291:01:00
322,WBD,"Warner Bros. Discovery, Inc.",171163,290:01:00
323,TECH,Bio-Techne Corp.,105484,290:01:00
324,FDX,Fedex Corp.,45976,289:01:00
326,UHS,Universal Health Services Inc.,50152,287:01:00
329,HPQ,HP Inc.,67816,287:01:00
333,GPN,Global Payments Inc.,56245,285:01:00
334,BAX,Baxter International Inc.,48566,284:01:00
336,DE,Deere & Co.,94247,284:01:00
340,IR,Ingersoll Rand Inc.,55400,280:01:00
341,CI,Cigna Group,75191,280:01:00
343,AIG,"American International Group, Inc.",88585,278:01:00
344,DHI,Horton D R Inc.,116043,277:01:00
346,AMAT,Applied Materials Inc.,96883,277:01:00
348,RJF,Raymond James Financial Inc.,126100,277:01:00
350,PSA,Public Storage,31827,276:01:00
351,MKC,Mccormick & CO Inc.,40141,275:01:00
354,MMC,"Marsh & Mclennan Companies, Inc.",69634,274:01:00
355,BA,Boeing Co.,119873,273:01:00
356,MOH,"Molina Healthcare, Inc.",78620,273:01:00
358,TXN,Texas Instruments Inc.,79577,272:01:00
362,AON,AON PLC,88009,269:01:00
363,CBRE,"Cbre Group, Inc.",70802,269:01:00
364,CAH,Cardinal Health Inc.,69024,269:01:00
366,CSCO,"Cisco Systems, Inc.",119165,267:01:00
367,CSGP,"Costar Group, Inc.",109250,267:01:00
369,MMM,3M Co.,61664,266:01:00
371,EW,Edwards Lifesciences Corp.,50368,265:01:00
376,CRL,"Charles River Laboratories International, Inc.",53621,263:01:00
377,ROK,"Rockwell Automation, Inc.",64024,262:01:00
379,TMO,Thermo Fisher Scientific Inc.,72762,261:01:00
380,LH,Laboratory Corp of America Holdings,61201,261:01:00
382,STT,State Street Corp.,51581,261:01:00
385,USB,US Bancorp,88624,259:01:00
388,FCX,Freeport-mcmoran Inc.,93911,256:01:00
390,WTW,Willis Towers Watson,49706,255:01:00
392,ALB,Albemarle Corp.,57103,253:01:00
394,PPG,PPG Industries Inc.,49519,252:01:00
395,MET,Metlife Inc.,81672,252:01:00
399,MSFT,Microsoft Corp.,193770,250:01:00
401,MSFT,Microsoft Corp.,193770,250:01:00
402,ZBH,"Zimmer Biomet Holdings, Inc.",66850,250:01:00
404,NWSA,News Corp.,77534,249:01:00
406,NFLX,Netflix Inc.,200761,248:01:00
407,SYK,Stryker Corp.,84028,247:01:00
410,EXR,Extra Space Storage Inc.,49954,246:01:00
412,AJG,Arthur J. Gallagher & Co.,63485,244:01:00
416,AES,AES Corp.,52028,244:01:00
418,TFX,Teleflex Inc.,37432,242:01:00
419,MS,Morgan Stanley,0,241:01:00
421,CRM,"Salesforce, Inc.",164985,240:01:00
422,KKR,Kkr & Co. Inc.,202500,240:01:00
423,MCHP,Microchip Technology Inc.,51229,240:01:00
425,ALL,Allstate Corp.,68814,239:01:00
427,MSCI,MSCI Inc.,57876,238:01:00
428,AMD,Advanced Micro Devices Inc.,127642,238:01:00
432,RMD,Resmed Inc.,59197,235:01:00
435,CNC,Centene Corp.,79507,234:01:00
438,BAC,Bank of America Corp.,124221,230:01:00
